round_id	round	phase	phase_duration_microseconds	phase_metrics	ProfileEvents
97308478d6b1a2dec4696e106a176b3a	0	namespace_cleanup	18424	{'evidence_rows':0,'janitor_deleted':0,'janitor_keys':186,'janitor_pages':1,'leaked':0}	{'CASGCGet':1,'CASOtherGet':1,'CASRootList':1,'ContextLock':8,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1003,'DiskS3ReadRequestsCount':4,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':8684,'IOBufferAllocs':2,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':1,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':3,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':366,'ReadBufferFromS3InitMicroseconds':628,'ReadBufferFromS3Microseconds':634,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1003,'S3ReadRequestsCount':4}
9a2c6cdf47e060ef6fee30a6de01f3fc	0	manifest_deletes	1	{'attempted':0,'deleted':0,'suppressed':0}	{}
9a2c6cdf47e060ef6fee30a6de01f3fc	0	namespace_cleanup	620661	{'evidence_rows':0,'janitor_deleted':0,'janitor_keys':1000,'janitor_pages':1,'leaked':0}	{'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCCompareSwap':1,'CASGCGet':2,'CASOtherGet':1,'CASRootList':1,'ContextLock':13,'DiskConnectionsPreserved':6,'DiskConnectionsReused':6,'DiskS3GetObject':3,'DiskS3HeadObject':3,'DiskS3ReadMicroseconds':2785,'DiskS3ReadRequestsCount':6,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':1061722,'IOBufferAllocs':4,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':4,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':9,'LogTrace':3,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':13056,'ReadBufferFromS3Bytes':606,'ReadBufferFromS3InitMicroseconds':1849,'ReadBufferFromS3Microseconds':1867,'S3GetObject':3,'S3HeadObject':3,'S3ReadMicroseconds':2785,'S3ReadRequestsCount':6,'WriteBufferFromS3Bytes':152}
9a2c6cdf47e060ef6fee30a6de01f3fc	0	orphan_sweep	2	{'cursor_advanced':0,'deleted':0,'list_budget_keys':1000,'listed':2,'retained_hold':0,'retained_no_coverage':0,'retained_tail_removal':0,'retained_unconsumed_seal':0,'skipped':2,'suppressed':0}	{}
9a2c6cdf47e060ef6fee30a6de01f3fc	0	pending_deletes	3312229	{'absent':0,'deleted':5000,'graduated':5000,'outcome_logs_written':1,'redeleted':5000,'replaced':0,'spared':0}	{'CASBlobDelete':5000,'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCPut':1,'CASGCRetiredGraduated':5000,'CASGCRetiredRedeleted':5000,'ContextLock':15001,'ContextLockWaitMicroseconds':7,'DiskConnectionsCreated':36,'DiskConnectionsElapsedMicroseconds':2600,'DiskConnectionsExpired':54,'DiskConnectionsPreserved':4946,'DiskConnectionsReused':4964,'DiskS3DeleteObjects':5000,'DiskS3WriteMicroseconds':2848751,'DiskS3WriteRequestAttempts':5000,'DiskS3WriteRequestsCount':5000,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolJobs':5001,'LocalThreadPoolLockWaitMicroseconds':5,'LogTrace':3,'MemoryAllocatedWithoutCheck':9965,'MemoryAllocatedWithoutCheckBytes':12479232,'QueryProfilerRuns':1,'S3WriteMicroseconds':2848751,'S3WriteRequestAttempts':5000,'S3WriteRequestsCount':5000,'WriteBufferFromS3Bytes':183454}
9a2c6cdf47e060ef6fee30a6de01f3fc	0	ref_object_cleanup	7875686	{'namespaces_planned':2,'suppressed':0,'trim_enabled':1}	{'CASGCGet':5000,'CASOtherGet':5000,'CASRefCleanupObjectsDeleted':5000,'CASRootDelete':5000,'CASRootGet':4,'CASRootHead':5000,'ContextLock':45016,'DiskConnectionsCreated':295,'DiskConnectionsElapsedMicroseconds':17835,'DiskConnectionsExpired':301,'DiskConnectionsPreserved':29707,'DiskConnectionsReused':29713,'DiskS3DeleteObjects':5000,'DiskS3GetObject':10004,'DiskS3HeadObject':15004,'DiskS3ReadMicroseconds':3882897,'DiskS3ReadRequestsCount':25008,'DiskS3WriteMicroseconds':2259430,'DiskS3WriteRequestAttempts':5000,'DiskS3WriteRequestsCount':5000,'IOBufferAllocBytes':43887888,'IOBufferAllocs':10004,'MemoryAllocatedWithoutCheck':60004,'MemoryAllocatedWithoutCheckBytes':65284352,'QueryProfilerRuns':1,'ReadBufferFromS3Bytes':2281252,'ReadBufferFromS3InitMicroseconds':2306372,'ReadBufferFromS3Microseconds':2322143,'S3GetObject':10004,'S3HeadObject':15004,'S3ReadMicroseconds':3882897,'S3ReadRequestsCount':25008,'S3WriteMicroseconds':2259430,'S3WriteRequestAttempts':5000,'S3WriteRequestsCount':5000}
9a2c6cdf47e060ef6fee30a6de01f3fc	0	round_commit	13593	{'generation':26,'generations_referenced':2,'generations_visited':1,'pruned_through':23,'round':26}	{'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCCompareSwap':1,'CASGCDelete':3,'CASGCEnumerationPages':1,'CASGCList':1,'ContextLock':4,'DiskConnectionsPreserved':3,'DiskConnectionsReused':3,'DiskS3DeleteObjects':3,'DiskS3WriteMicroseconds':4182,'DiskS3WriteRequestAttempts':3,'DiskS3WriteRequestsCount':3,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':2,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':9,'LogTrace':3,'MemoryAllocatedWithoutCheck':6,'MemoryAllocatedWithoutCheckBytes':6528,'S3WriteMicroseconds':4182,'S3WriteRequestAttempts':3,'S3WriteRequestsCount':3,'WriteBufferFromS3Bytes':141}
9cf1732f1930c4f868d3a74abc64513e	0	manifest_deletes	1	{'attempted':0,'deleted':0,'suppressed':0}	{}
9cf1732f1930c4f868d3a74abc64513e	0	namespace_cleanup	63361	{'evidence_rows':0,'janitor_deleted':0,'janitor_keys':186,'janitor_pages':1,'leaked':0}	{'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCCompareSwap':1,'CASGCGet':2,'CASOtherGet':1,'CASRootList':1,'ContextLock':13,'DiskConnectionsPreserved':6,'DiskConnectionsReused':6,'DiskS3GetObject':3,'DiskS3HeadObject':3,'DiskS3ReadMicroseconds':4094,'DiskS3ReadRequestsCount':6,'GlobalThreadPoolJobs':1,'IOBufferAllocBytes':1061623,'IOBufferAllocs':4,'LocalThreadPoolExpansions':1,'LocalThreadPoolJobs':2,'LocalThreadPoolShrinks':1,'LocalThreadPoolThreadCreationMicroseconds':7,'LogTrace':3,'MemoryAllocatedWithoutCheck':12,'MemoryAllocatedWithoutCheckBytes':13056,'ReadBufferFromS3Bytes':507,'ReadBufferFromS3InitMicroseconds':2823,'ReadBufferFromS3Microseconds':2858,'S3GetObject':3,'S3HeadObject':3,'S3ReadMicroseconds':4094,'S3ReadRequestsCount':6,'WriteBufferFromS3Bytes':53}
9cf1732f1930c4f868d3a74abc64513e	0	orphan_sweep	5	{'cursor_advanced':0,'deleted':0,'list_budget_keys':1000,'listed':2,'retained_hold':0,'retained_no_coverage':0,'retained_tail_removal':0,'retained_unconsumed_seal':0,'skipped':2,'suppressed':0}	{}
9cf1732f1930c4f868d3a74abc64513e	0	pending_deletes	6805681	{'absent':0,'deleted':5000,'graduated':5000,'outcome_logs_written':1,'redeleted':5000,'replaced':0,'spared':0}	{'CASBlobDelete':5000,'CASConditionalWriteAttempts':1,'CASConditionalWriteCommitted':1,'CASGCPut':1,'CASGCRetiredGraduated':5000,'CASGCRetiredRedeleted':5000,'ContextLock':15001,'ContextLockWaitMicroseconds':47,'DiskConnectionsCreated':32,'DiskConnectionsElapsedMicroseconds':4202,'DiskConnectionsExpired':46,'DiskConnectionsPreserved':4954,'DiskConnectionsReused':4968,'DiskS3DeleteObjects':5000,'DiskS3WriteMicroseconds':5995300,'DiskS3WriteRequestAttempts':5000,'DiskS3WriteRequestsCount':5000,'IOBufferAllocBytes':1048639,'IOBufferAllocs':1,'LocalThreadPoolJobs':5001,'LocalThreadPoolLockWaitMicroseconds':33,'LogTrace':3,'MemoryAllocatedWithoutCheck':9973,'MemoryAllocatedWithoutCheckBytes':12487936,'QueryProfilerRuns':1,'S3WriteMicroseconds':5995300,'S3WriteRequestAttempts':5000,'S3WriteRequestsCount':5000,'WriteBufferFromS3Bytes':183440}
9cf1732f1930c4f868d3a74abc64513e	0	ref_object_cleanup	7529	{'namespaces_planned':2,'suppressed':0,'trim_enabled':1}	{'CASRootGet':4,'ContextLock':16,'DiskConnectionsExpired':1,'DiskConnectionsPreserved':7,'DiskConnectionsReused':8,'DiskS3GetObject':4,'DiskS3HeadObject':4,'DiskS3ReadMicroseconds':4996,'DiskS3ReadRequestsCount':8,'IOBufferAllocBytes':27888,'IOBufferAllocs':4,'MemoryAllocatedWithoutCheck':14,'MemoryAllocatedWithoutCheckBytes':15232,'ReadBufferFromS3Bytes':11252,'ReadBufferFromS3InitMicroseconds':3582,'ReadBufferFromS3Microseconds':3617,'S3GetObject':4,'S3HeadObject':4,'S3ReadMicroseconds':4996,'S3ReadRequestsCount':8}
