round_id	round	event_type	outcome	duration_ms	anomalies	entries_condemned	entries_graduated	entries_redeleted	objects_deleted
d458e1c061a778c7eec84c2c01798fdc	0	Finish	NotALeader	2	0	0	0	0	0
b8b88ca8b0f7d673d0b60deef708a2d4	0	Finish	NotALeader	2	0	0	0	0	0
30f6239f4646502a430bd8698483b730	0	Finish	NotALeader	2	0	0	0	0	0
086a658b123ffa248049a3dece3a760f	0	Finish	NotALeader	1	0	0	0	0	0
2ae8148819e1ef3b77ebf62af7ac4111	0	Finish	NotALeader	2	0	0	0	0	0
6dd75ac19a519793a5e9b4c033a7ffac	0	Finish	NotALeader	1	0	0	0	0	0
77510fa5c07fa0f6ae2bcb82e4e71531	0	Finish	NotALeader	2	0	0	0	0	0
a8b41a6ecc8380b71084fdeb2ec08c8e	0	Finish	NotALeader	2	0	0	0	0	0
1da4ad0db31eb329c20a21ba2fab1cf3	0	Finish	NotALeader	1	0	0	0	0	0
e5bda3ac9c13e7656220f89b740e6bbe	1	Finish	Success	58660	0	0	0	0	0
20ad04bb1b02058be447584c01236c66	2	Finish	Success	350073	0	0	0	0	0
3be81f4325098cb5504bd78bfecaba94	3	Finish	Success	1831021	0	7787	0	0	0
1b879165752ead866cd321607351b283	4	Finish	Success	779561	0	217042	0	0	0
eb42aca7bdc661ff5b3045943a66c00f	5	Finish	Success	135572	0	56027	5000	0	0
2e3cef8b4d38a523d148a81d2c6d86c0	6	Finish	Success	51632	0	0	5000	5000	5000
7e115efa1db483fca6f3de4f20e00a71	7	Finish	Success	48948	0	0	5000	5000	5000
ec6c6bcc19a7c60cff613d592f27665d	8	Finish	Success	52366	0	134	5000	5000	5000
3ba3652fb4561cb82e944889a1ae464f	9	Finish	Success	46636	0	0	5000	5000	5000
758332e03e60720a5bd7262314e5637d	10	Finish	Success	44209	0	0	5000	5000	5000
9363c14680feacca8e2d200f9d4042a3	11	Finish	Success	44586	0	0	5000	5000	5000
b0116aaa46e3c8203fb9698c42c1b3a3	12	Finish	Success	44381	0	0	5000	5000	5000
fe7f5f42b65fcf8c549bf6f9279d240c	13	Finish	Success	41958	0	0	5000	5000	5000
04f4255239e6868845d440ca78a40222	14	Finish	Success	41456	0	0	5000	5000	5000
e1b72dc6a74e7724d7f742422cfcdfff	15	Finish	Success	38909	0	0	5000	5000	5000
33831b1bc832e07a310b34f23441fff5	16	Finish	Success	36438	0	0	5000	5000	5000
e2731984ce2210da5b50d4cf82e0d52e	17	Finish	Success	32530	0	0	5000	5000	5000
a455bf650bd38e9c1b6919bef39ac2ae	18	Finish	Success	30075	0	0	5000	5000	5000
f9f62b53bde2a14a2b567af4a1e07c8b	19	Finish	Success	27995	0	0	5000	5000	5000
506a402585089b7800fcdcad3ed54893	20	Finish	Success	25823	0	0	5000	5000	5000
25270f50ae14c01d28a4ba752cf961ee	21	Finish	Success	23952	0	0	5000	5000	5000
d90631a3f4e072c14b165e4b07f142ec	22	Finish	Success	23603	0	0	5000	5000	5000
e77fea047f99022e6836a6caf0f68f25	23	Finish	Success	20300	0	0	5000	5000	5000
0ee1a2329de67d4126fbf13803bf50d2	24	Finish	Success	19836	0	0	5000	5000	5000
3adbddd6c79f0d50b99c6b479606eb68	25	Finish	Success	16842	0	0	5000	5000	5000
9a2c6cdf47e060ef6fee30a6de01f3fc	26	Finish	Success	16764	0	0	5000	5000	5000
7cd211d1e06ef97954a9381c0bc47b53	27	Finish	Success	13966	0	0	5000	5000	5000
328b3065084287a24c54cb2233f0c8d9	28	Finish	Success	15348	0	0	5000	5000	5000
2c1f51a6dc5ee445376c4f943e09778b	29	Finish	Success	8801	0	0	5000	5000	5000
b2d47c222a0c5f51549d3057dd1c1ff9	30	Finish	Success	4814	0	0	5000	5000	5000
90c3421745c005e344b5876c2a849773	31	Finish	Success	3982	0	0	5000	5000	5000
f1031574d2f2f4da71b4c09ca22faca2	32	Finish	Success	3969	0	0	5000	5000	5000
d49c9a143a01bd572be103d69d80c025	33	Finish	Success	3656	0	0	5000	5000	5000
a2fa3b94c071915a41118580093fcfdd	34	Finish	Success	3788	0	0	5000	5000	5000
80b758a0c28fd95bf3594110964c8353	35	Finish	Success	3963	0	0	5000	5000	5000
2dfa8eea0d51c13b14d854246659596e	36	Finish	Success	3662	0	0	5000	5000	5000
0bbc85a8b64837e138185d6cf8be6910	37	Finish	Success	3654	0	0	5000	5000	5000
0e8f1599232f874c44a1ef31bdbe6d47	38	Finish	Success	3835	0	0	5000	5000	5000
3f129da083b41c8ab6532b12f4e3c722	39	Finish	Success	3677	0	0	5000	5000	5000
086864beafb936c22cd6d61c99f77026	40	Finish	Success	3565	0	0	5000	5000	5000
26010a3bc4b6d4e8ac6e10302c2fcfc5	41	Finish	Success	3826	0	0	5000	5000	5000
07387732639159f698800006650423da	42	Finish	Success	3627	0	0	5000	5000	5000
6ef3554f389808309623fc7e0a721b24	43	Finish	Success	3667	0	0	5000	5000	5000
fe12007c75a0f4f9862f9db6703f82ed	44	Finish	Success	3743	0	0	5000	5000	5000
7dc1bd4b1104924d4c56bfc170b3d2c9	45	Finish	Success	3624	0	0	5000	5000	5000
426faec7b25bd8653621c7311bff81f4	46	Finish	Success	3577	0	0	5000	5000	5000
68123f328347cb1cf6cfeeddc74707bd	47	Finish	Success	3640	0	0	5000	5000	5000
